"County, State",POP010210D,LND110210D,People_Per_Square_Mile
District of Columbia,"601,723 ",61.05 ,"9,856.23 "
"Autauga County, Alabama","54,571 ",594.44 ,91.80 
"Baldwin County, Alabama","182,265 ","1,589.78 ",114.65 
"Barbour County, Alabama","27,457 ",884.88 ,31.03 
"Bibb County, Alabama","22,915 ",622.58 ,36.81 
"Blount County, Alabama","57,322 ",644.78 ,88.90 
"Bullock County, Alabama","10,914 ",622.81 ,17.52 
"Butler County, Alabama","20,947 ",776.83 ,26.96 
"Calhoun County, Alabama","118,572 ",605.87 ,195.71 
"Chambers County, Alabama","34,215 ",596.53 ,57.36 
"Cherokee County, Alabama","25,989 ",553.70 ,46.94 
"Chilton County, Alabama","43,643 ",692.85 ,62.99 
"Choctaw County, Alabama","13,859 ",913.50 ,15.17 
"Clarke County, Alabama","25,833 ","1,238.47 ",20.86 
"Clay County, Alabama","13,932 ",603.96 ,23.07 
"Cleburne County, Alabama","14,972 ",560.10 ,26.73 
"Coffee County, Alabama","49,948 ",678.97 ,73.56 
"Colbert County, Alabama","54,428 ",592.62 ,91.84 
"Conecuh County, Alabama","13,228 ",850.16 ,15.56 
"Coosa County, Alabama","11,539 ",650.93 ,17.73 
"Covington County, Alabama","37,765 ","1,030.46 ",36.65 
"Crenshaw County, Alabama","13,906 ",608.84 ,22.84 
"Cullman County, Alabama","80,406 ",734.84 ,109.42 
"Dale County, Alabama","50,251 ",561.15 ,89.55 
"Dallas County, Alabama","43,820 ",978.70 ,44.77 
"DeKalb County, Alabama","71,109 ",777.09 ,91.51 
"Elmore County, Alabama","79,303 ",618.49 ,128.22 
"Escambia County, Alabama","38,319 ",945.08 ,40.55 
"Etowah County, Alabama","104,430 ",534.99 ,195.20 
"Fayette County, Alabama","17,241 ",627.66 ,27.47 
"Franklin County, Alabama","31,704 ",633.82 ,50.02 
"Geneva County, Alabama","26,790 ",574.41 ,46.64 
"Greene County, Alabama","9,045 ",647.11 ,13.98 
"Hale County, Alabama","15,760 ",643.94 ,24.47 
"Henry County, Alabama","17,302 ",561.75 ,30.80 
"Houston County, Alabama","101,547 ",579.82 ,175.14 
"Jackson County, Alabama","53,227 ","1,077.87 ",49.38 
"Jefferson County, Alabama","658,466 ","1,111.28 ",592.53 
"Lamar County, Alabama","14,564 ",604.85 ,24.08 
"Lauderdale County, Alabama","92,709 ",667.70 ,138.85 
"Lawrence County, Alabama","34,339 ",690.68 ,49.72 
"Lee County, Alabama","140,247 ",607.54 ,230.84 
"Limestone County, Alabama","82,782 ",559.94 ,147.84 
"Lowndes County, Alabama","11,299 ",715.91 ,15.78 
"Macon County, Alabama","21,452 ",608.89 ,35.23 
"Madison County, Alabama","334,811 ",801.59 ,417.68 
"Marengo County, Alabama","21,027 ",976.88 ,21.52 
"Marion County, Alabama","30,776 ",742.29 ,41.46 
"Marshall County, Alabama","93,019 ",565.84 ,164.39 
"Mobile County, Alabama","412,992 ","1,229.44 ",335.92 
"Monroe County, Alabama","23,068 ","1,025.68 ",22.49 
"Montgomery County, Alabama","229,363 ",784.25 ,292.46 
"Morgan County, Alabama","119,490 ",579.34 ,206.25 
"Perry County, Alabama","10,591 ",719.66 ,14.72 
"Pickens County, Alabama","19,746 ",881.41 ,22.40 
"Pike County, Alabama","32,899 ",672.09 ,48.95 
"Randolph County, Alabama","22,913 ",580.55 ,39.47 
"Russell County, Alabama","52,947 ",641.14 ,82.58 
"St. Clair County, Alabama","83,593 ",631.90 ,132.29 
"Shelby County, Alabama","195,085 ",784.93 ,248.54 
"Sumter County, Alabama","13,763 ",903.89 ,15.23 
"Talladega County, Alabama","82,291 ",736.78 ,111.69 
"Tallapoosa County, Alabama","41,616 ",716.52 ,58.08 
"Tuscaloosa County, Alabama","194,656 ","1,321.76 ",147.27 
"Walker County, Alabama","67,023 ",791.19 ,84.71 
"Washington County, Alabama","17,581 ","1,080.21 ",16.28 
"Wilcox County, Alabama","11,670 ",888.50 ,13.13 
"Winston County, Alabama","24,484 ",612.98 ,39.94 
"Aleutians East Borough, Alaska","3,141 ","6,981.94 ",0.45 
"Aleutians West Census Area, Alaska","5,561 ","4,390.28 ",1.27 
"Anchorage Municipality, Alaska","291,826 ","1,704.68 ",171.19 
"Bethel Census Area, Alaska","17,013 ","40,570.00 ",0.42 
"Bristol Bay Borough, Alaska",997 ,503.84 ,1.98 
"Denali Borough, Alaska","1,826 ","12,751.41 ",0.14 
"Dillingham Census Area, Alaska","4,847 ","18,568.78 ",0.26 
"Fairbanks North Star Borough, Alaska","97,581 ","7,338.21 ",13.30 
"Haines Borough, Alaska","2,508 ","2,318.60 ",1.08 
"Hoonah-Angoon Census Area, Alaska","2,150 ","7,524.92 ",0.29 
"Juneau City and Borough, Alaska","31,275 ","2,701.93 ",11.58 
"Kenai Peninsula Borough, Alaska","55,400 ","16,075.33 ",3.45 
"Ketchikan Gateway Borough, Alaska","13,477 ","4,858.41 ",2.77 
"Kodiak Island Borough, Alaska","13,592 ","6,549.58 ",2.08 
"Lake and Peninsula Borough, Alaska","1,631 ","23,652.01 ",0.07 
"Matanuska-Susitna Borough, Alaska","88,995 ","24,607.90 ",3.62 
"Nome Census Area, Alaska","9,492 ","22,961.76 ",0.41 
"North Slope Borough, Alaska","9,430 ","88,695.41 ",0.11 
"Northwest Arctic Borough, Alaska","7,523 ","35,572.58 ",0.21 
"Petersburg Borough, Alaska","3,815 ","3,281.98 ",1.16 
"Prince of Wales-Hyder Census Area, Alaska","5,559 ","3,922.87 ",1.42 
"Sitka City and Borough, Alaska","8,881 ","2,870.34 ",3.09 
"Skagway Municipality, Alaska",968 ,452.33 ,2.14 
"Southeast Fairbanks Census Area, Alaska","7,029 ","24,768.81 ",0.28 
"Valdez-Cordova Census Area, Alaska","9,636 ","34,239.88 ",0.28 
"Wade Hampton Census Area, Alaska","7,459 ","17,081.43 ",0.44 
"Wrangell City and Borough, Alaska","2,369 ","2,541.48 ",0.93 
"Yakutat City and Borough, Alaska",662 ,"7,649.46 ",0.09 
"Yukon-Koyukuk Census Area, Alaska","5,588 ","145,504.79 ",0.04 
"Apache County, Arizona","71,518 ","11,197.52 ",6.39 
"Cochise County, Arizona","131,346 ","6,165.69 ",21.30 
"Coconino County, Arizona","134,421 ","18,618.89 ",7.22 
"Gila County, Arizona","53,597 ","4,757.93 ",11.26 
"Graham County, Arizona","37,220 ","4,622.60 ",8.05 
"Greenlee County, Arizona","8,437 ","1,843.13 ",4.58 
"La Paz County, Arizona","20,489 ","4,499.63 ",4.55 
"Maricopa County, Arizona","3,817,117 ","9,200.14 ",414.90 
"Mohave County, Arizona","200,186 ","13,311.08 ",15.04 
"Navajo County, Arizona","107,449 ","9,950.42 ",10.80 
"Pima County, Arizona","980,263 ","9,187.04 ",106.70 
"Pinal County, Arizona","375,770 ","5,365.61 ",70.03 
"Santa Cruz County, Arizona","47,420 ","1,236.92 ",38.34 
"Yavapai County, Arizona","211,033 ","8,123.50 ",25.98 
"Yuma County, Arizona","195,751 ","5,513.99 ",35.50 
"Arkansas County, Arkansas","19,019 ",988.77 ,19.24 
"Ashley County, Arkansas","21,853 ",925.35 ,23.62 
"Baxter County, Arkansas","41,513 ",554.28 ,74.90 
"Benton County, Arkansas","221,339 ",847.36 ,261.21 
"Boone County, Arkansas","36,903 ",590.23 ,62.52 
"Bradley County, Arkansas","11,508 ",649.23 ,17.73 
"Calhoun County, Arkansas","5,368 ",628.58 ,8.54 
"Carroll County, Arkansas","27,446 ",630.09 ,43.56 
"Chicot County, Arkansas","11,800 ",644.30 ,18.31 
"Clark County, Arkansas","22,995 ",866.07 ,26.55 
"Clay County, Arkansas","16,083 ",639.47 ,25.15 
"Cleburne County, Arkansas","25,970 ",553.69 ,46.90 
"Cleveland County, Arkansas","8,689 ",597.78 ,14.54 
"Columbia County, Arkansas","24,552 ",766.05 ,32.05 
"Conway County, Arkansas","21,273 ",552.25 ,38.52 
"Craighead County, Arkansas","96,443 ",707.21 ,136.37 
"Crawford County, Arkansas","61,948 ",593.09 ,104.45 
"Crittenden County, Arkansas","50,902 ",609.76 ,83.48 
"Cross County, Arkansas","17,870 ",616.38 ,28.99 
"Dallas County, Arkansas","8,116 ",667.39 ,12.16 
"Desha County, Arkansas","13,008 ",768.15 ,16.93 
"Drew County, Arkansas","18,509 ",828.36 ,22.34 
"Faulkner County, Arkansas","113,237 ",647.88 ,174.78 
"Franklin County, Arkansas","18,125 ",608.86 ,29.77 
"Fulton County, Arkansas","12,245 ",618.19 ,19.81 
"Garland County, Arkansas","96,024 ",677.78 ,141.67 
"Grant County, Arkansas","17,853 ",631.81 ,28.26 
"Greene County, Arkansas","42,090 ",577.70 ,72.86 
"Hempstead County, Arkansas","22,609 ",727.52 ,31.08 
"Hot Spring County, Arkansas","32,923 ",615.20 ,53.52 
"Howard County, Arkansas","13,789 ",588.55 ,23.43 
"Independence County, Arkansas","36,647 ",763.95 ,47.97 
"Izard County, Arkansas","13,696 ",580.58 ,23.59 
"Jackson County, Arkansas","17,997 ",633.94 ,28.39 
"Jefferson County, Arkansas","77,435 ",870.75 ,88.93 
"Johnson County, Arkansas","25,540 ",659.80 ,38.71 
"Lafayette County, Arkansas","7,645 ",528.27 ,14.47 
"Lawrence County, Arkansas","17,415 ",587.61 ,29.64 
"Lee County, Arkansas","10,424 ",602.62 ,17.30 
"Lincoln County, Arkansas","14,134 ",561.52 ,25.17 
"Little River County, Arkansas","13,171 ",532.25 ,24.75 
"Logan County, Arkansas","22,353 ",708.13 ,31.57 
"Lonoke County, Arkansas","68,356 ",770.73 ,88.69 
"Madison County, Arkansas","15,717 ",834.26 ,18.84 
"Marion County, Arkansas","16,653 ",597.01 ,27.89 
"Miller County, Arkansas","43,462 ",625.58 ,69.47 
"Mississippi County, Arkansas","46,480 ",900.57 ,51.61 
"Monroe County, Arkansas","8,149 ",607.12 ,13.42 
"Montgomery County, Arkansas","9,487 ",779.88 ,12.16 
"Nevada County, Arkansas","8,997 ",617.84 ,14.56 
"Newton County, Arkansas","8,330 ",820.90 ,10.15 
"Ouachita County, Arkansas","26,120 ",732.78 ,35.65 
"Perry County, Arkansas","10,445 ",551.40 ,18.94 
"Phillips County, Arkansas","21,757 ",695.66 ,31.28 
"Pike County, Arkansas","11,291 ",600.62 ,18.80 
"Poinsett County, Arkansas","24,583 ",758.39 ,32.41 
"Polk County, Arkansas","20,662 ",857.68 ,24.09 
"Pope County, Arkansas","61,754 ",812.55 ,76.00 
"Prairie County, Arkansas","8,715 ",647.96 ,13.45 
"Pulaski County, Arkansas","382,748 ",759.76 ,503.77 
"Randolph County, Arkansas","17,969 ",652.19 ,27.55 
"St. Francis County, Arkansas","28,258 ",634.77 ,44.52 
"Saline County, Arkansas","107,118 ",723.60 ,148.03 
"Scott County, Arkansas","11,233 ",892.32 ,12.59 
"Searcy County, Arkansas","8,195 ",666.10 ,12.30 
"Sebastian County, Arkansas","125,744 ",531.91 ,236.40 
"Sevier County, Arkansas","17,058 ",565.13 ,30.18 
"Sharp County, Arkansas","17,264 ",604.44 ,28.56 
"Stone County, Arkansas","12,394 ",606.41 ,20.44 
"Union County, Arkansas","41,639 ","1,039.21 ",40.07 
"Van Buren County, Arkansas","17,295 ",708.14 ,24.42 
"Washington County, Arkansas","203,065 ",941.97 ,215.57 
"White County, Arkansas","77,076 ","1,035.08 ",74.46 
"Woodruff County, Arkansas","7,260 ",586.79 ,12.37 
"Yell County, Arkansas","22,185 ",929.98 ,23.86 
"Alameda County, California","1,510,271 ",739.02 ,"2,043.61 "
"Alpine County, California","1,175 ",738.33 ,1.59 
"Amador County, California","38,091 ",594.58 ,64.06 
"Butte County, California","220,000 ","1,636.46 ",134.44 
"Calaveras County, California","45,578 ","1,020.01 ",44.68 
"Colusa County, California","21,419 ","1,150.73 ",18.61 
"Contra Costa County, California","1,049,025 ",715.94 ,"1,465.24 "
"Del Norte County, California","28,610 ","1,006.37 ",28.43 
"El Dorado County, California","181,058 ","1,707.88 ",106.01 
"Fresno County, California","930,450 ","5,957.99 ",156.17 
"Glenn County, California","28,122 ","1,313.95 ",21.40 
"Humboldt County, California","134,623 ","3,567.99 ",37.73 
"Imperial County, California","174,528 ","4,176.60 ",41.79 
"Inyo County, California","18,546 ","10,180.88 ",1.82 
"Kern County, California","839,631 ","8,131.92 ",103.25 
"Kings County, California","152,982 ","1,389.42 ",110.10 
"Lake County, California","64,665 ","1,256.46 ",51.47 
"Lassen County, California","34,895 ","4,541.18 ",7.68 
"Los Angeles County, California","9,818,605 ","4,057.88 ","2,419.64 "
"Madera County, California","150,865 ","2,137.07 ",70.59 
"Marin County, California","252,409 ",520.31 ,485.11 
"Mariposa County, California","18,251 ","1,448.82 ",12.60 
"Mendocino County, California","87,841 ","3,506.34 ",25.05 
"Merced County, California","255,793 ","1,934.97 ",132.19 
"Modoc County, California","9,686 ","3,917.77 ",2.47 
"Mono County, California","14,202 ","3,048.98 ",4.66 
"Monterey County, California","415,057 ","3,280.60 ",126.52 
"Napa County, California","136,484 ",748.36 ,182.38 
"Nevada County, California","98,764 ",957.77 ,103.12 
"Orange County, California","3,010,232 ",790.57 ,"3,807.67 "
"Placer County, California","348,432 ","1,407.01 ",247.64 
"Plumas County, California","20,007 ","2,553.04 ",7.84 
"Riverside County, California","2,189,641 ","7,206.48 ",303.84 
"Sacramento County, California","1,418,788 ",964.64 ,"1,470.80 "
"San Benito County, California","55,269 ","1,388.71 ",39.80 
"San Bernardino County, California","2,035,210 ","20,056.94 ",101.47 
"San Diego County, California","3,095,313 ","4,206.63 ",735.82 
"San Francisco County, California","805,235 ",46.87 ,"17,180.18 "
"San Joaquin County, California","685,306 ","1,391.32 ",492.56 
"San Luis Obispo County, California","269,637 ","3,298.57 ",81.74 
"San Mateo County, California","718,451 ",448.41 ,"1,602.22 "
"Santa Barbara County, California","423,895 ","2,735.09 ",154.98 
"Santa Clara County, California","1,781,642 ","1,290.10 ","1,381.01 "
"Santa Cruz County, California","262,382 ",445.17 ,589.40 
"Shasta County, California","177,223 ","3,775.40 ",46.94 
"Sierra County, California","3,240 ",953.21 ,3.40 
"Siskiyou County, California","44,900 ","6,277.89 ",7.15 
"Solano County, California","413,344 ",821.77 ,502.99 
"Sonoma County, California","483,878 ","1,575.85 ",307.06 
"Stanislaus County, California","514,453 ","1,494.83 ",344.15 
"Sutter County, California","94,737 ",602.41 ,157.26 
"Tehama County, California","63,463 ","2,949.71 ",21.51 
"Trinity County, California","13,786 ","3,179.25 ",4.34 
"Tulare County, California","442,179 ","4,824.22 ",91.66 
"Tuolumne County, California","55,365 ","2,220.88 ",24.93 
"Ventura County, California","823,318 ","1,843.13 ",446.70 
"Yolo County, California","200,849 ","1,014.69 ",197.94 
"Yuba County, California","72,155 ",631.84 ,114.20 
"Adams County, Colorado","441,603 ","1,167.65 ",378.20 
"Alamosa County, Colorado","15,445 ",722.64 ,21.37 
"Arapahoe County, Colorado","572,003 ",798.10 ,716.71 
"Archuleta County, Colorado","12,084 ","1,350.18 ",8.95 
"Baca County, Colorado","3,788 ","2,554.97 ",1.48 
"Bent County, Colorado","6,499 ","1,512.86 ",4.30 
"Boulder County, Colorado","294,567 ",726.29 ,405.58 
"Broomfield County, Colorado","55,889 ",33.03 ,"1,692.07 "
"Chaffee County, Colorado","17,809 ","1,013.40 ",17.57 
"Cheyenne County, Colorado","1,836 ","1,778.28 ",1.03 
"Clear Creek County, Colorado","9,088 ",395.23 ,22.99 
"Conejos County, Colorado","8,256 ","1,287.39 ",6.41 
"Costilla County, Colorado","3,524 ","1,226.95 ",2.87 
"Crowley County, Colorado","5,823 ",787.42 ,7.40 
"Custer County, Colorado","4,255 ",738.63 ,5.76 
"Delta County, Colorado","30,952 ","1,142.05 ",27.10 
"Denver County, Colorado","600,158 ",153.00 ,"3,922.60 "
"Dolores County, Colorado","2,064 ","1,067.05 ",1.93 
"Douglas County, Colorado","285,465 ",840.25 ,339.74 
"Eagle County, Colorado","52,197 ","1,684.53 ",30.99 
"Elbert County, Colorado","23,086 ","1,850.85 ",12.47 
"El Paso County, Colorado","622,263 ","2,126.80 ",292.58 
"Fremont County, Colorado","46,824 ","1,533.07 ",30.54 
"Garfield County, Colorado","56,389 ","2,947.56 ",19.13 
"Gilpin County, Colorado","5,441 ",149.90 ,36.30 
"Grand County, Colorado","14,843 ","1,846.33 ",8.04 
"Gunnison County, Colorado","15,324 ","3,239.10 ",4.73 
"Hinsdale County, Colorado",843 ,"1,117.25 ",0.75 
"Huerfano County, Colorado","6,711 ","1,591.00 ",4.22 
"Jackson County, Colorado","1,394 ","1,613.72 ",0.86 
"Jefferson County, Colorado","534,543 ",764.21 ,699.47 
"Kiowa County, Colorado","1,398 ","1,767.77 ",0.79 
"Kit Carson County, Colorado","8,270 ","2,160.82 ",3.83 
"Lake County, Colorado","7,310 ",376.91 ,19.39 
"La Plata County, Colorado","51,334 ","1,692.08 ",30.34 
"Larimer County, Colorado","299,630 ","2,596.00 ",115.42 
"Las Animas County, Colorado","15,507 ","4,772.67 ",3.25 
"Lincoln County, Colorado","5,467 ","2,577.63 ",2.12 
"Logan County, Colorado","22,709 ","1,838.55 ",12.35 
"Mesa County, Colorado","146,723 ","3,328.97 ",44.07 
"Mineral County, Colorado",712 ,875.67 ,0.81 
"Moffat County, Colorado","13,795 ","4,743.29 ",2.91 
"Montezuma County, Colorado","25,535 ","2,029.53 ",12.58 
"Montrose County, Colorado","41,276 ","2,240.70 ",18.42 
"Morgan County, Colorado","28,159 ","1,280.43 ",21.99 
"Otero County, Colorado","18,831 ","1,261.96 ",14.92 
"Ouray County, Colorado","4,436 ",541.59 ,8.19 
"Park County, Colorado","16,206 ","2,193.85 ",7.39 
"Phillips County, Colorado","4,442 ",687.93 ,6.46 
"Pitkin County, Colorado","17,148 ",970.70 ,17.67 
"Prowers County, Colorado","12,551 ","1,638.40 ",7.66 
"Pueblo County, Colorado","159,063 ","2,386.10 ",66.66 
"Rio Blanco County, Colorado","6,666 ","3,220.93 ",2.07 
"Rio Grande County, Colorado","11,982 ",911.96 ,13.14 
"Routt County, Colorado","23,509 ","2,362.03 ",9.95 
"Saguache County, Colorado","6,108 ","3,168.53 ",1.93 
"San Juan County, Colorado",699 ,387.49 ,1.80 
"San Miguel County, Colorado","7,359 ","1,286.61 ",5.72 
"Sedgwick County, Colorado","2,379 ",548.04 ,4.34 
"Summit County, Colorado","27,994 ",608.36 ,46.02 
"Teller County, Colorado","23,350 ",557.06 ,41.92 
"Washington County, Colorado","4,814 ","2,518.03 ",1.91 
"Weld County, Colorado","252,825 ","3,987.24 ",63.41 
"Yuma County, Colorado","10,043 ","2,364.41 ",4.25 
"Fairfield County, Connecticut","916,829 ",624.89 ,"1,467.18 "
"Hartford County, Connecticut","894,014 ",735.10 ,"1,216.18 "
"Litchfield County, Connecticut","189,927 ",920.56 ,206.32 
"Middlesex County, Connecticut","165,676 ",369.30 ,448.62 
"New Haven County, Connecticut","862,477 ",604.51 ,"1,426.74 "
"New London County, Connecticut","274,055 ",664.88 ,412.19 
"Tolland County, Connecticut","152,691 ",410.21 ,372.23 
"Windham County, Connecticut","118,428 ",512.91 ,230.89 
"Kent County, Delaware","162,310 ",586.18 ,276.89 
"New Castle County, Delaware","538,479 ",426.29 ,"1,263.18 "
"Sussex County, Delaware","197,145 ",936.08 ,210.61 
"Alachua County, Florida","247,336 ",875.02 ,282.66 
"Baker County, Florida","27,115 ",585.23 ,46.33 
"Bay County, Florida","168,852 ",758.46 ,222.62 
"Bradford County, Florida","28,520 ",293.96 ,97.02 
"Brevard County, Florida","543,376 ","1,015.66 ",535.00 
"Broward County, Florida","1,748,066 ","1,209.79 ","1,444.93 "
"Calhoun County, Florida","14,625 ",567.33 ,25.78 
"Charlotte County, Florida","159,978 ",680.28 ,235.16 
"Citrus County, Florida","141,236 ",581.70 ,242.80 
"Clay County, Florida","190,865 ",604.36 ,315.81 
"Collier County, Florida","321,520 ","1,998.32 ",160.90 
"Columbia County, Florida","67,531 ",797.57 ,84.67 
"DeSoto County, Florida","34,862 ",637.06 ,54.72 
"Dixie County, Florida","16,422 ",705.05 ,23.29 
"Duval County, Florida","864,263 ",762.19 ,"1,133.92 "
"Escambia County, Florida","297,619 ",656.46 ,453.37 
"Flagler County, Florida","95,696 ",485.46 ,197.12 
"Franklin County, Florida","11,549 ",534.73 ,21.60 
"Gadsden County, Florida","46,389 ",516.33 ,89.84 
"Gilchrist County, Florida","16,939 ",349.68 ,48.44 
"Glades County, Florida","12,884 ",806.01 ,15.98 
"Gulf County, Florida","15,863 ",564.01 ,28.13 
"Hamilton County, Florida","14,799 ",513.79 ,28.80 
"Hardee County, Florida","27,731 ",637.78 ,43.48 
"Hendry County, Florida","39,140 ","1,152.75 ",33.95 
"Hernando County, Florida","172,778 ",472.54 ,365.64 
"Highlands County, Florida","98,786 ","1,016.62 ",97.17 
"Hillsborough County, Florida","1,229,226 ","1,020.21 ","1,204.88 "
"Holmes County, Florida","19,927 ",478.78 ,41.62 
"Indian River County, Florida","138,028 ",502.87 ,274.48 
"Jackson County, Florida","49,746 ",917.76 ,54.20 
"Jefferson County, Florida","14,761 ",598.10 ,24.68 
"Lafayette County, Florida","8,870 ",543.41 ,16.32 
"Lake County, Florida","297,052 ",938.38 ,316.56 
"Lee County, Florida","618,754 ",784.51 ,788.71 
"Leon County, Florida","275,487 ",666.85 ,413.12 
"Levy County, Florida","40,801 ","1,118.21 ",36.49 
"Liberty County, Florida","8,365 ",835.56 ,10.01 
"Madison County, Florida","19,224 ",695.95 ,27.62 
"Manatee County, Florida","322,833 ",742.93 ,434.54 
"Marion County, Florida","331,298 ","1,584.55 ",209.08 
"Martin County, Florida","146,318 ",543.46 ,269.23 
"Miami-Dade County, Florida","2,496,435 ","1,897.72 ","1,315.49 "
"Monroe County, Florida","73,090 ",983.28 ,74.33 
"Nassau County, Florida","73,314 ",648.64 ,113.03 
"Okaloosa County, Florida","180,822 ",930.25 ,194.38 
"Okeechobee County, Florida","39,996 ",768.91 ,52.02 
"Orange County, Florida","1,145,956 ",903.43 ,"1,268.45 "
"Osceola County, Florida","268,685 ","1,327.45 ",202.41 
"Palm Beach County, Florida","1,320,134 ","1,969.76 ",670.20 
"Pasco County, Florida","464,697 ",746.89 ,622.18 
"Pinellas County, Florida","916,542 ",273.80 ,"3,347.49 "
"Polk County, Florida","602,095 ","1,797.84 ",334.90 
"Putnam County, Florida","74,364 ",727.62 ,102.20 
"St. Johns County, Florida","190,039 ",600.66 ,316.38 
"St. Lucie County, Florida","277,789 ",571.93 ,485.70 
"Santa Rosa County, Florida","151,372 ","1,011.61 ",149.63 
"Sarasota County, Florida","379,448 ",555.87 ,682.62 
"Seminole County, Florida","422,718 ",309.22 ,"1,367.05 "
"Sumter County, Florida","93,420 ",546.93 ,170.81 
"Suwannee County, Florida","41,551 ",688.55 ,60.35 
"Taylor County, Florida","22,570 ","1,043.31 ",21.63 
"Union County, Florida","15,535 ",243.56 ,63.78 
"Volusia County, Florida","494,593 ","1,101.03 ",449.21 
"Wakulla County, Florida","30,776 ",606.42 ,50.75 
"Walton County, Florida","55,043 ","1,037.63 ",53.05 
"Washington County, Florida","24,896 ",582.80 ,42.72 
"Appling County, Georgia","18,236 ",507.08 ,35.96 
"Atkinson County, Georgia","8,375 ",339.38 ,24.68 
"Bacon County, Georgia","11,096 ",258.58 ,42.91 
"Baker County, Georgia","3,451 ",341.94 ,10.09 
"Baldwin County, Georgia","45,720 ",257.84 ,177.32 
"Banks County, Georgia","18,395 ",232.09 ,79.26 
"Barrow County, Georgia","69,367 ",160.31 ,432.71 
"Bartow County, Georgia","100,157 ",459.54 ,217.95 
"Ben Hill County, Georgia","17,634 ",250.12 ,70.50 
"Berrien County, Georgia","19,286 ",451.90 ,42.68 
"Bibb County, Georgia","155,547 ",249.76 ,622.79 
"Bleckley County, Georgia","13,063 ",215.87 ,60.51 
"Brantley County, Georgia","18,411 ",442.36 ,41.62 
"Brooks County, Georgia","16,243 ",493.05 ,32.94 
"Bryan County, Georgia","30,233 ",435.97 ,69.35 
"Bulloch County, Georgia","70,217 ",672.81 ,104.36 
"Burke County, Georgia","23,316 ",826.97 ,28.19 
"Butts County, Georgia","23,655 ",184.39 ,128.29 
"Calhoun County, Georgia","6,694 ",280.37 ,23.88 
"Camden County, Georgia","50,513 ",613.03 ,82.40 
"Candler County, Georgia","10,998 ",243.04 ,45.25 
"Carroll County, Georgia","110,527 ",499.08 ,221.46 
"Catoosa County, Georgia","63,942 ",162.16 ,394.31 
"Charlton County, Georgia","12,171 ",773.58 ,15.73 
"Chatham County, Georgia","265,128 ",426.44 ,621.72 
"Chattahoochee County, Georgia","11,267 ",248.74 ,45.30 
"Chattooga County, Georgia","26,015 ",313.34 ,83.02 
"Cherokee County, Georgia","214,346 ",421.67 ,508.33 
"Clarke County, Georgia","116,714 ",119.20 ,979.14 
"Clay County, Georgia","3,183 ",195.38 ,16.29 
"Clayton County, Georgia","259,424 ",141.57 ,"1,832.48 "
"Clinch County, Georgia","6,798 ",800.22 ,8.50 
"Cobb County, Georgia","688,078 ",339.55 ,"2,026.44 "
"Coffee County, Georgia","42,356 ",575.10 ,73.65 
"Colquitt County, Georgia","45,498 ",544.15 ,83.61 
"Columbia County, Georgia","124,053 ",290.09 ,427.64 
"Cook County, Georgia","17,212 ",227.16 ,75.77 
"Coweta County, Georgia","127,317 ",440.89 ,288.77 
"Crawford County, Georgia","12,630 ",324.89 ,38.87 
"Crisp County, Georgia","23,439 ",272.58 ,85.99 
"Dade County, Georgia","16,633 ",173.98 ,95.60 
"Dawson County, Georgia","22,330 ",210.83 ,105.91 
"Decatur County, Georgia","27,842 ",597.14 ,46.63 
"DeKalb County, Georgia","691,893 ",267.58 ,"2,585.74 "
"Dodge County, Georgia","21,796 ",495.89 ,43.95 
"Dooly County, Georgia","14,918 ",391.94 ,38.06 
"Dougherty County, Georgia","94,565 ",328.69 ,287.70 
"Douglas County, Georgia","132,403 ",200.07 ,661.78 
"Early County, Georgia","11,008 ",512.59 ,21.48 
"Echols County, Georgia","4,034 ",414.89 ,9.72 
"Effingham County, Georgia","52,250 ",477.70 ,109.38 
"Elbert County, Georgia","20,166 ",351.06 ,57.44 
"Emanuel County, Georgia","22,598 ",680.60 ,33.20 
"Evans County, Georgia","11,000 ",182.85 ,60.16 
"Fannin County, Georgia","23,682 ",386.72 ,61.24 
"Fayette County, Georgia","106,567 ",194.34 ,548.35 
"Floyd County, Georgia","96,317 ",509.91 ,188.89 
"Forsyth County, Georgia","175,511 ",224.02 ,783.46 
"Franklin County, Georgia","22,084 ",261.50 ,84.45 
"Fulton County, Georgia","920,581 ",526.64 ,"1,748.03 "
"Gilmer County, Georgia","28,292 ",426.54 ,66.33 
"Glascock County, Georgia","3,082 ",143.74 ,21.44 
"Glynn County, Georgia","79,626 ",419.75 ,189.70 
"Gordon County, Georgia","55,186 ",355.81 ,155.10 
"Grady County, Georgia","25,011 ",454.53 ,55.03 
"Greene County, Georgia","15,994 ",387.44 ,41.28 
"Gwinnett County, Georgia","805,321 ",430.38 ,"1,871.19 "
"Habersham County, Georgia","43,041 ",276.74 ,155.53 
"Hall County, Georgia","179,684 ",392.78 ,457.47 
"Hancock County, Georgia","9,429 ",471.84 ,19.98 
"Haralson County, Georgia","28,780 ",282.17 ,102.00 
"Harris County, Georgia","32,024 ",463.87 ,69.04 
"Hart County, Georgia","25,213 ",232.39 ,108.49 
"Heard County, Georgia","11,834 ",296.03 ,39.98 
"Henry County, Georgia","203,922 ",322.13 ,633.04 
"Houston County, Georgia","139,900 ",375.54 ,372.53 
"Irwin County, Georgia","9,538 ",354.34 ,26.92 
"Jackson County, Georgia","60,485 ",339.66 ,178.08 
