"County, State",POP010210D,LND110210D,People_Per_Square_Mile
"Somervell County, Texas","8,490 ",186.46 ,45.53 
"Starr County, Texas","60,968 ","1,223.18 ",49.84 
"Stephens County, Texas","9,630 ",896.72 ,10.74 
"Sterling County, Texas","1,143 ",923.45 ,1.24 
"Stonewall County, Texas","1,490 ",916.31 ,1.63 
"Sutton County, Texas","4,128 ","1,453.93 ",2.84 
"Swisher County, Texas","7,854 ",890.16 ,8.82 
"Tarrant County, Texas","1,809,034 ",863.61 ,"2,094.73 "
"Taylor County, Texas","131,506 ",915.55 ,143.64 
"Terrell County, Texas",984 ,"2,358.03 ",0.42 
"Terry County, Texas","12,651 ",888.84 ,14.23 
"Throckmorton County, Texas","1,641 ",912.55 ,1.80 
"Titus County, Texas","32,334 ",406.05 ,79.63 
"Tom Green County, Texas","110,224 ","1,521.97 ",72.42 
"Travis County, Texas","1,024,266 ",990.20 ,"1,034.40 "
"Trinity County, Texas","14,585 ",693.61 ,21.03 
"Tyler County, Texas","21,766 ",924.50 ,23.54 
"Upshur County, Texas","39,309 ",582.95 ,67.43 
"Upton County, Texas","3,355 ","1,241.32 ",2.70 
"Uvalde County, Texas","26,405 ","1,551.95 ",17.01 
"Val Verde County, Texas","48,879 ","3,144.75 ",15.54 
"Van Zandt County, Texas","52,579 ",842.56 ,62.40 
"Victoria County, Texas","86,793 ",882.14 ,98.39 
"Walker County, Texas","67,861 ",784.17 ,86.54 
"Waller County, Texas","43,205 ",513.43 ,84.15 
"Ward County, Texas","10,658 ",835.60 ,12.75 
"Washington County, Texas","33,718 ",603.95 ,55.83 
"Webb County, Texas","250,304 ","3,361.48 ",74.46 
"Wharton County, Texas","41,280 ","1,086.15 ",38.01 
"Wheeler County, Texas","5,410 ",914.52 ,5.92 
"Wichita County, Texas","131,500 ",627.78 ,209.47 
"Wilbarger County, Texas","13,535 ",970.84 ,13.94 
"Willacy County, Texas","22,134 ",590.55 ,37.48 
"Williamson County, Texas","422,679 ","1,118.30 ",377.97 
"Wilson County, Texas","42,918 ",803.73 ,53.40 
"Winkler County, Texas","7,110 ",841.11 ,8.45 
"Wise County, Texas","59,127 ",904.42 ,65.38 
"Wood County, Texas","41,964 ",645.23 ,65.04 
"Yoakum County, Texas","7,879 ",799.71 ,9.85 
"Young County, Texas","18,550 ",914.47 ,20.28 
"Zapata County, Texas","14,018 ",998.41 ,14.04 
"Zavala County, Texas","11,677 ","1,297.41 ",9.00 
"Beaver County, Utah","6,629 ","2,589.88 ",2.56 
"Box Elder County, Utah","49,975 ","5,745.55 ",8.70 
"Cache County, Utah","112,656 ","1,164.81 ",96.72 
"Carbon County, Utah","21,403 ","1,478.49 ",14.48 
"Daggett County, Utah","1,059 ",696.98 ,1.52 
"Davis County, Utah","306,479 ",298.78 ,"1,025.77 "
"Duchesne County, Utah","18,607 ","3,240.95 ",5.74 
"Emery County, Utah","10,976 ","4,462.31 ",2.46 
"Garfield County, Utah","5,172 ","5,175.12 ",1.00 
"Grand County, Utah","9,225 ","3,671.54 ",2.51 
"Iron County, Utah","46,163 ","3,296.68 ",14.00 
"Juab County, Utah","10,246 ","3,392.28 ",3.02 
"Kane County, Utah","7,125 ","3,990.23 ",1.79 
"Millard County, Utah","12,503 ","6,572.43 ",1.90 
"Morgan County, Utah","9,469 ",609.20 ,15.54 
"Piute County, Utah","1,556 ",757.79 ,2.05 
"Rich County, Utah","2,264 ","1,028.78 ",2.20 
"Salt Lake County, Utah","1,029,655 ",742.28 ,"1,387.15 "
"San Juan County, Utah","14,746 ","7,819.99 ",1.89 
"Sanpete County, Utah","27,822 ","1,590.15 ",17.50 
"Sevier County, Utah","20,802 ","1,910.58 ",10.89 
"Summit County, Utah","36,324 ","1,871.71 ",19.41 
