,zip,state,county,State Name,"County, State"
199,99836,AK,Petersburg Census Area,Alaska,"Petersburg Borough, Alaska"
200,99918,AK,Prince of Wales-Hyder Census Area,Alaska,"Prince of Wales-Hyder Census Area, Alaska"
201,99919,AK,Prince of Wales-Hyder Census Area,Alaska,"Prince of Wales-Hyder Census Area, Alaska"
202,99921,AK,Prince of Wales-Hyder Census Area,Alaska,"Prince of Wales-Hyder Census Area, Alaska"
203,99922,AK,Prince of Wales-Hyder Census Area,Alaska,"Prince of Wales-Hyder Census Area, Alaska"
204,99923,AK,Prince of Wales-Hyder Census Area,Alaska,"Prince of Wales-Hyder Census Area, Alaska"
205,99925,AK,Prince of Wales-Hyder Census Area,Alaska,"Prince of Wales-Hyder Census Area, Alaska"
206,99927,AK,Prince of Wales-Hyder Census Area,Alaska,"Prince of Wales-Hyder Census Area, Alaska"
207,99926,AK,Prince of Wales-Outer Ketchikan Borough,Alaska,"Prince of Wales-Hyder Census Area, Alaska"
208,99950,AK,Prince of Wales-Outer Ketchikan Borough,Alaska,"Prince of Wales-Hyder Census Area, Alaska"
209,99835,AK,Sitka City and Borough,Alaska,"Sitka City and Borough, Alaska"
210,99840,AK,Skagway Municipality,Alaska,"Skagway Municipality, Alaska"
211,99706,AK,Southeast Fairbanks Census Area,Alaska,"Southeast Fairbanks Census Area, Alaska"
212,99731,AK,Southeast Fairbanks Census Area,Alaska,"Southeast Fairbanks Census Area, Alaska"
213,99732,AK,Southeast Fairbanks Census Area,Alaska,"Southeast Fairbanks Census Area, Alaska"
214,99737,AK,Southeast Fairbanks Census Area,Alaska,"Southeast Fairbanks Census Area, Alaska"
215,99738,AK,Southeast Fairbanks Census Area,Alaska,"Southeast Fairbanks Census Area, Alaska"
216,99764,AK,Southeast Fairbanks Census Area,Alaska,"Southeast Fairbanks Census Area, Alaska"
217,99776,AK,Southeast Fairbanks Census Area,Alaska,"Southeast Fairbanks Census Area, Alaska"
218,99779,AK,Southeast Fairbanks Census Area,Alaska,"Southeast Fairbanks Census Area, Alaska"
219,99780,AK,Southeast Fairbanks Census Area,Alaska,"Southeast Fairbanks Census Area, Alaska"
220,99566,AK,Valdez-Cordova Census Area,Alaska,"Valdez-Cordova Census Area, Alaska"
221,99573,AK,Valdez-Cordova Census Area,Alaska,"Valdez-Cordova Census Area, Alaska"
222,99574,AK,Valdez-Cordova Census Area,Alaska,"Valdez-Cordova Census Area, Alaska"
223,99586,AK,Valdez-Cordova Census Area,Alaska,"Valdez-Cordova Census Area, Alaska"
224,99588,AK,Valdez-Cordova Census Area,Alaska,"Valdez-Cordova Census Area, Alaska"
225,99677,AK,Valdez-Cordova Census Area,Alaska,"Valdez-Cordova Census Area, Alaska"
226,99686,AK,Valdez-Cordova Census Area,Alaska,"Valdez-Cordova Census Area, Alaska"
227,99693,AK,Valdez-Cordova Census Area,Alaska,"Valdez-Cordova Census Area, Alaska"
228,99554,AK,Wade Hampton Census Area,Alaska,"Wade Hampton Census Area, Alaska"
229,99563,AK,Wade Hampton Census Area,Alaska,"Wade Hampton Census Area, Alaska"
230,99581,AK,Wade Hampton Census Area,Alaska,"Wade Hampton Census Area, Alaska"
231,99585,AK,Wade Hampton Census Area,Alaska,"Wade Hampton Census Area, Alaska"
232,99604,AK,Wade Hampton Census Area,Alaska,"Wade Hampton Census Area, Alaska"
233,99620,AK,Wade Hampton Census Area,Alaska,"Wade Hampton Census Area, Alaska"
234,99632,AK,Wade Hampton Census Area,Alaska,"Wade Hampton Census Area, Alaska"
235,99650,AK,Wade Hampton Census Area,Alaska,"Wade Hampton Census Area, Alaska"
236,99657,AK,Wade Hampton Census Area,Alaska,"Wade Hampton Census Area, Alaska"
237,99658,AK,Wade Hampton Census Area,Alaska,"Wade Hampton Census Area, Alaska"
238,99662,AK,Wade Hampton Census Area,Alaska,"Wade Hampton Census Area, Alaska"
239,99666,AK,Wade Hampton Census Area,Alaska,"Wade Hampton Census Area, Alaska"
240,99903,AK,Wrangell City and Borough,Alaska,"Wrangell City and Borough, Alaska"
241,99929,AK,Wrangell City and Borough,Alaska,"Wrangell City and Borough, Alaska"
242,99689,AK,Yakutat City and Borough,Alaska,"Yakutat City and Borough, Alaska"
243,99558,AK,Yukon-Koyukuk Census Area,Alaska,"Yukon-Koyukuk Census Area, Alaska"
244,99590,AK,Yukon-Koyukuk Census Area,Alaska,"Yukon-Koyukuk Census Area, Alaska"
245,99602,AK,Yukon-Koyukuk Census Area,Alaska,"Yukon-Koyukuk Census Area, Alaska"
246,99627,AK,Yukon-Koyukuk Census Area,Alaska,"Yukon-Koyukuk Census Area, Alaska"
247,99665,AK,Yukon-Koyukuk Census Area,Alaska,"Yukon-Koyukuk Census Area, Alaska"
248,99675,AK,Yukon-Koyukuk Census Area,Alaska,"Yukon-Koyukuk Census Area, Alaska"
249,99691,AK,Yukon-Koyukuk Census Area,Alaska,"Yukon-Koyukuk Census Area, Alaska"
250,99720,AK,Yukon-Koyukuk Census Area,Alaska,"Yukon-Koyukuk Census Area, Alaska"
251,99722,AK,Yukon-Koyukuk Census Area,Alaska,"Yukon-Koyukuk Census Area, Alaska"
252,99724,AK,Yukon-Koyukuk Census Area,Alaska,"Yukon-Koyukuk Census Area, Alaska"
253,99726,AK,Yukon-Koyukuk Census Area,Alaska,"Yukon-Koyukuk Census Area, Alaska"
